순위,등록번호,서명,저자,발행자,청구기호,대출횟수
32,EM0000375276,"who?한국사. 1, 김연아",오영석 지음,다산어린이,J991.1-후91-1,10
33,EM0000374042,"한국사 탐험 만화 역사상식. 9, 고려 시대 보물찾기 1",글: 곰돌이 co. ; 그림: 강경효,아이세움,J911-한17-9,10
34,EM0000373594,(퀴즈!)과학상식  :  황당 요리 수학,신혜영 지음,글송이,J410-신94ㅋ,10
35,EM0000372770,마인드스쿨.1-5,"네온비 글, 도도 그림",고릴라박스(비룡소),J190-마69-4,10
36,EM0000351757,신과함께  : 신화편. 중,주호민 글.그림,애니북스,818-주95ㅅ-중,10
37,EM0000333042,신과 함께 :이승편,주호민 만화,애니북스,818-주95ㅅ-하,10
38,EM0000322375,(KBS 위기탈출) 넘버원. 11-20,에듀코믹 구성 ; 차현진 그림,밝은미래,J539-넘43-20,10
39,EM0000312850,괜찮아 괜찮아 완벽하지 않아도 괜찮아!,토마스 S. 그린스펀 글  ; 김령언 그림  ; 홍성미 옮김,길벗스쿨,독(J) 181-그239ㄱ=2,10
40,EM0000430253,코드네임 K,강경수 글·그림,시공주니어,J813.8-강14ㅋ,10
41,EM0000427548,"무엇이든 마녀상회. 22, 아이돌 마녀의 고민",안비루 야스코 글·그림 ; 황세정 옮김,예림당,J833.8-안49ㅇ,10
42,EM0000425861,내일은 실험왕. 38-39,스토리 a. 글 ;  홍종현 그림,MiraeN·아이세움,J407-곰225ㄴ-38,10
43,EM0000424717,너는 너대로 나는 나대로,천추스 글 ; 윤세열 그림,나한기획,독(J) 181-천817ㄴ,10
44,EM0000421663,행복한 의자나무,량슈린 글·그림 ; 박지민 옮김,북뱅크,MC 823.7-량57ㅎ,10
45,EM0000420756,(루루와 라라의) 셔벗,안비루 야스코 글·그림  ; 정문주 옮김,소담주니어,J833.8-안49ㅅ,10
46,EM0000419367,"한국사 탐험 만화 역사상식. 20:, 남북한 시대 보물찾기",곰돌이 co. 글 ; 강경효 그림,미래엔,J911.07-한17,10
47,EM0000416604,우리 모두 왕  : 존재에 관한 스무 가지 이야기,하인츠 야니쉬 글  ; 볼프 에를브루흐 그림  ; 박수진 옮김,베틀북,독(J) 100-야219ㅇ=2,10
48,EM0000404775,"마법천자문 : 손오공의 한자 대탐험. 34,35",올댓스토리 글 ; 김성재 윤색 ; 홍거북 그림,아울북,JU711.47-시239ㅁ-35,10
49,EM0000431708,오늘은 내가 엄마,소예 글·그림,노란돼지,MC813.8-소64ㅇ,10
50,EM0000431508,선생님도 몰래 보는 고사성어 이야기 : 생각이 쑥쑥 어휘력이 쑥쑥,아르고나인 스튜디오 지음,봄봄스쿨,J714.4-아238ㅅ,10
51,EM0000431505,런닝맨 어휘의 신. 1,송도수 글;서정은 그림,서울문화사,J714-송225ㄹ-1,10
52,EM0000431500,"브리태니커 만화 백과 = Encyclopedia Britannica. 52, 스포츠",봄봄 스토리 글 ; 유영승 그림,Mirae N 아이세움,J692-브239-52,10
53,EM0000431454,(코믹 메이플스토리)수학도둑. 56-60,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,JU410-송225ㅅ-59,10
54,EM0000431437,(크르릉 크르릉) 아기 공룡,다운 시렛 글 ; 피터 미니스터 그림,웅진주니어,MC 457.2-시233ㅇ,10
55,EM0000431401,(도티&잠뜰) 하우머치별에서 부자 되기. 1-2,하지강 글;정윤채 그림,대원키즈,J327.04-하79ㅎ-1,10
56,EM0000403203,(코믹메이플스토리)수학도둑. 42-46,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,J410-송225ㅅ-46,10
57,EM0000396721,"한국사 탐험 만화 역사상식. 11, 고려 시대 보물찾기 3",글: 곰돌이 co. ; 그림: 강경효,아이세움,J911-한17-11,10
58,EM0000396328,반짝반짝 아이디어 알쏭달쏭 수수께끼,황은영 지음 ; 박수진 그림,글송이,J031-황68ㅂ=2,10
59,EM0000395378,쿠키런 어드벤처  :  쿠키들의 신나는 세계여행,송도수,서울문화사,J980.24-쿠829-9,10
60,EM0000395373,쿠키런 어드벤처  :  쿠키들의 신나는 세계여행,송도수,서울문화사,J980.24-쿠829-4,10
61,EM0000394069,마법천자문 : 손오공의 한자대탐험. 28-32,올댓스토리 글 ; 김성재 윤색 ; 홍거북 그림 ; 김창환 감수,아울북,J711.47-시239ㅁ-30,10
62,EM0000391112,(쿠키런) 한자런  : 달리는 쿠키들의 한자 대모험. 1-3,최근덕  지음 주훈 그림,서울문화사,J711.4-최18ㅎ-2,10
63,EM0000387465,마인드 스쿨,"김미영 글, 그림",고릴라박스,J190-마69-8,10
64,EM0000278065,못해도 괜찮아,나스 마사모토 글 ; 하타 고시로 그림 ; 양선하 옮김,가문비어린이,J833.8-나58ㅁ,10
65,EM0000267407,(어린이를 위한) 공부 습관  : 정직과 용기가 함께하는 자기계발 동화,어린이동화연구회 글  ; 박종연 그림,꿈꾸는사람들,J373.4-어239ㄱ,10
66,EM0000263194,전교 네 명 머시기가 간다,김해등 글 ; 윤정주 그림,웅진주니어,J813.8-김92ㅈ,10
67,EM0000212523,빡빡머리 엄마,박관희 글 ; 박해남 그림,낮은산,J813.8-박16ㅃ,9
